,Name,Location,Phone_1,Phone_2,Website,Register_Capital
0,บริษัท 2 เอส เมทัล จำกัด (มหาชน),8/5 หมู่ที่ 14 ตำบลท่าช้าง อำเภอบางกล่ำ สงขลา,0-7480-0111,0-7480-1286,http://www.ss.co.th,"549,997,741.00 บาท"
1,บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน),387 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,0-2709-3535,0-2393-2509 / 0-2709-4965,-,"784,000,000.00 บาท"
2,บริษัท เซเว่น ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),73 อาคารมหาชล ซอยสุขุมวิท 62 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม.,0-2741-5700,0-2741-5724,http://www.sevenup.co.th,"2,773,869,685.50 บาท"
3,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),999 ถนนประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กทม.,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th,"1,200,000,000.00 บาท"
4,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 19 ยูนิต 1901 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2026-3512,0-2026-3513,http://www.assetfive.co.th,"661,500,000.00 บาท"
5,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),222 ท่าอากาศยานดอนเมืองอาคารส่วนกลางชั้น 3 ห้อง 3200 ถ.วิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กทม.,0-2562-5700,0-2562-5705,http://www.aavplc.com,"1,285,000,000.00 บาท"
6,บริษัท เอบิโก้ โฮลดิ้งส์ จำกัด (มหาชน),401/1หมู่ที่ 8 อาคารเอบิโก้ ชั้น 5 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,0-2080-7899,0-2080-7805,http://www.abicogroup.com,"244,397,239.00 บาท"
7,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),273/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,0-2415-0054,0-2415-1102,http://www.asiabiomass.com,"150,000,000.00 บาท"
8,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า อมตะ บี.กริม เพาเวอร์,เลขที่ 400/22 อาคารธนาคารกสิกรไทย ชั้น 6 และ 12 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,0-2673-3999,0-2673-3988,http://www.kasikornasset.com,"855,600,000.00 บาท"
9,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น 24 ห้องเลขที่ 2401-2405 ถนน วิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,0-2793-3888,0-2793-3944,http://www.acap.co.th,"158,205,580.00 บาท"
10,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),944 อาคารมิตรทาวน์ ออฟฟิศ ทาวน์เวอร์ ชั้น 16 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กทม.,0-2219-1642,0-2219-1662,http://acc-plc.com,"335,763,905.75 บาท"
11,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),เลขที่ 140/6 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 7 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม.,0-2233-2559,-,http://www.ace-energy.co.th,"5,487,999,980.00 บาท"
12,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),เลขที่ 1111 หมู่ 1 ถนนมะลิวัลย์ ตำบลบ้านทุ่ม อำเภอเมือง ขอนแก่น,0-4330-6444,0-4330-6448,http://www.autocorpgroup.com,"312,000,000.00 บาท"
13,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),252 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,0-2709-4040-9,0-2323-9195,http://www.adb.co.th,"362,999,961.50 บาท"
14,บริษัท แอดเทค ฮับ จำกัด (มหาชน),เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 41 ห้องเลขที่ 4106-7 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กทม.,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com,"80,000,000.00 บาท"
15,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),"อาคารเอไอเอส ทาวเวอร์ 1, 414 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.",0-2029-5000,0-2029-5165,http://investor.ais.co.th,"4,997,459,800.00 บาท"
16,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),"อาคารเอ็กเชน ทาวเวอร์ ชั้น 27, 388 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กทม.","0-2665-0123, 0-2689-7197",0-2689-7007,http://www.aeon.co.th,"250,000,000.00 บาท"
17,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),เลขที่ 319 อาคารจัตุรัสจามจุรี ชั้น 17 ถนนพญาไท เขตปทุมวัน กทม.,0-2657-6222,"0-2657-6244, 0-2657-6245",http://www.airafactoring.co.th,"400,000,000.00 บาท"
18,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),"อาคารวอลล์สตรีททาวเวอร์ ชั้น 27, 33/133-136 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม.",0-2632-7071-85,0-2236-1982,http://www.asiafiber.com,"1,000,000,000.00 บาท"
19,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),273/1 ถนนพระราม 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,0-2894-0088,"0-2894-0044, 0-2894-4267",http://www.agecoal.com,"543,877,746.50 บาท"
20,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),99 หมู่ 1 นิคมอุตสาหกรรมไฮเทค ตำบลบ้านเลน อำเภอบางปะอิน พระนครศรีอยุธยา,0-3535-0880,0-3535-0881,http://www.aapico.com,"354,842,228.00 บาท"
21,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),68/3 หมู่ 2 ถนนพระยาสัจจา ตำบลบ้านสวน อำเภอเมือง ชลบุรี,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,http://www.aikchol.com,"150,000,000.00 บาท"
22,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),254 ถนนเสรีไทย แขวงคันนายาว เขตคันนายาว กทม.,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com,"700,000,000.00 บาท"
23,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),เลขที่ 55/2 หมู่ที่ 8 ถนนเศรษฐกิจ 1 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน สมุทรสาคร,0-3487-7485-8,0-3487-7491-2,http://www.aienergy.co.th,"1,569,682,166.00 บาท"
24,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,เลขที่ 93/1 อาคารจีพีเอฟ วิทยุ อาคารบี ชั้น 8 ห้อง 803 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,0-2254-0441-2,-,http://www.aimcgreit.com,"2,831,040,000.00 บาท"
25,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,เลขที่ 93/1 อาคารจีพีเอฟ วิทยุ อาคารบีชั้น 8 ห้อง 803 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,0-2254-0441-2,-,http://www.aimreit.com,"5,954,807,690.00 บาท"
26,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),319 อาคารจัตุรัสจามจุรี ชั้นที่ 12 ถนนพญาไท ปทุมวัน กทม.,0-2080-2999,0-2160-5395,https://www.airacapital.co.th,"1,578,719,633.25 บาท"
